Year,County,Count
2007,Yates,2137.24
2008,Albany,18388.18269230769
2008,Allegany,1875.9444444444443
2008,Bronx,16932.632743362832
2008,Broome,8720.913385826772
2008,Cattaraugus,3815.6190476190477
2008,Cayuga,5873.0123456790125
2008,Chautauqua,5790.0952380952385
2008,Chemung,6290.610062893082
2008,Chenango,1454.6158940397352
2008,Clinton,5104.96511627907
2008,Columbia,5049.875
2008,Cortland,4098.289473684211
2008,Delaware,1430.9420289855072
2008,Dutchess,4927.95
2008,Erie,13277.257035647279
2008,Essex,2559.8260869565215
2008,Franklin,3112.9714285714285
2008,Fulton,3619.4827586206898
2008,Genesee,6104.371428571429
2008,Greene,12433.857142857143
2008,Hamilton,838.4615384615385
2008,Herkimer,2814.777777777778
2008,Jefferson,1725.0114285714285
2008,Kings,20009.377049180326
2008,Lewis,1572.095238095238
2008,Livingston,1730.7191011235955
2008,Madison,1469.2276119402984
2008,Monroe,17710.587939698493
2008,Montgomery,4453.342696629214
2008,Nassau,24935.831632653062
2008,New York,25750.433823529413
2008,Niagara,6355.771028037383
2008,Oneida,5841.724014336917
2008,Onondaga,12287.768844221106
2008,Ontario,7852.116883116883
2008,Orange,6138.728045325779
2008,Orleans,1360.4358974358975
2008,Oswego,5389.92
2008,Otsego,2594.6209677419356
2008,Putnam,14309.92
2008,Queens,42280.10900473934
2008,Rensselaer,4601.056451612903
2008,Richmond,21772.895833333332
2008,Rockland,13236.146666666667
2008,Saint Lawrence,1461.6787330316743
2008,Saratoga,4586.314893617021
2008,Schenectady,11582.367346938776
2008,Schoharie,2049.2558139534885
2008,Schuyler,2690.75
2008,Seneca,6113.970588235294
2008,Steuben,6539.35
2008,Suffolk,18156.64285714286
2008,Sullivan,3303.375
2008,Tioga,4421.16
2008,Tompkins,4841.433070866142
2008,Ulster,5681.288043478261
2008,Warren,13005.8
2008,Washington,3934.1346153846152
2008,Wayne,3455.74358974359
2008,Westchester,11641.117486338799
2008,Wyoming,1499.280701754386
2008,Yates,2625.705882352941
2009,Albany,10221.20792079208
2009,Allegany,1170.3631578947368
2009,Bronx,22066.333333333332
2009,Broome,7634.624242424243
2009,Cattaraugus,2273.7948717948716
2009,Cayuga,3763.904109589041
2009,Chautauqua,3017.7645631067962
2009,Chemung,2600.517948717949
2009,Chenango,1404.686567164179
2009,Clinton,2377.441340782123
2009,Columbia,5115.760869565217
2009,Cortland,1849.1017964071857
2009,Delaware,1652.8823529411766
2009,Dutchess,6895.37556561086
2009,Erie,10546.360294117647
2009,Essex,2553.029411764706
2009,Franklin,4669.682926829269
2009,Fulton,3423.229885057471
2009,Genesee,6515.699115044248
2009,Greene,6550.34375
2009,Hamilton,1589.9473684210527
2009,Herkimer,3639.6483516483518
2009,Jefferson,5763.23046875
2009,Kings,10741.12526539278
2009,Lewis,1609.2222222222222
2009,Livingston,2753.3636363636365
2009,Madison,2950.714285714286
2009,Monroe,11103.955294117646
2009,Montgomery,3468.722222222222
2009,Nassau,9325.179347826086
2009,New York,20800.13142857143
2009,Niagara,4770.761904761905
2009,Oneida,4684.527377521614
2009,Onondaga,12741.324074074075
2009,Ontario,5752.85596707819
2009,Orange,9523.16911764706
2009,Orleans,1718.5151515151515
2009,Oswego,2269.955882352941
2009,Otsego,3597.3232323232323
2009,Putnam,6577.879518072289
2009,Queens,23954.020833333332
2009,Rensselaer,3721.44262295082
2009,Richmond,18769.466666666667
2009,Rockland,9272.077669902912
2009,Saint Lawrence,1216.8793774319065
2009,Saratoga,6942.752808988764
2009,Schenectady,10935.745762711864
2009,Schoharie,3840.4883720930234
2009,Schuyler,1774.4307692307693
2009,Seneca,2408.5172413793102
2009,Steuben,2158.9223300970875
2009,Suffolk,31131.732394366198
2009,Sullivan,2848.339393939394
2009,Tioga,2760.8990825688074
2009,Tompkins,3805.923728813559
2009,Ulster,4938.981707317073
2009,Warren,8016.333333333333
2009,Washington,4635.583333333333
2009,Wayne,2972.2020202020203
2009,Westchester,8724.88854489164
2009,Wyoming,1567.0298507462687
2009,Yates,2654.8536585365855
2010,Albany,8538.294498381878
2010,Allegany,1207.7349397590363
2010,Bronx,12209.120967741936
2010,Broome,5977.0893617021275
2010,Cattaraugus,3140.725490196078
2010,Cayuga,3406.2162162162163
2010,Chautauqua,2370.851063829787
2010,Chemung,5907.513812154696
2010,Chenango,2208.3617021276596
2010,Clinton,4908.171875
2010,Columbia,4865.131578947368
2010,Cortland,3517.1372549019607
2010,Delaware,3242.472222222222
2010,Dutchess,4145.1908396946565
2010,Erie,8638.397260273972
2010,Essex,1534.5675675675675
2010,Franklin,2880.337837837838
2010,Fulton,2715.5447154471544
2010,Genesee,3285.427272727273
2010,Greene,2906.883333333333
2010,Hamilton,1171.0526315789473
2010,Herkimer,4428.424242424242
2010,Jefferson,4216.333333333333
2010,Kings,14711.366795366795
2010,Lewis,2185.8
2010,Livingston,2049.1847826086955
2010,Madison,2957.5116279069766
2010,Monroe,10155.38768115942
2010,Montgomery,2693.6601307189544
2010,Nassau,9777.214592274679
2010,New York,16088.664451827242
2010,Niagara,691.8308977035491
2010,Oneida,5132.6150793650795
2010,Onondaga,6147.656637168142
2010,Ontario,7744.608695652174
2010,Orange,5264.230352303523
2010,Orleans,1579.1875
2010,Oswego,3125.7397260273974
2010,Otsego,3396.240740740741
2010,Putnam,7772.129032258064
2010,Queens,31015.765690376567
2010,Rensselaer,11042.952606635072
2010,Richmond,21911.14893617021
2010,Rockland,8016.5
2010,Saint Lawrence,1550.958174904943
2010,Saratoga,4157.280269058296
2010,Schenectady,8166.074074074074
2010,Schoharie,2532.285714285714
2010,Schuyler,1254.75
2010,Seneca,4151.648648648648
2010,Steuben,2165.237113402062
2010,Suffolk,6848.845588235294
2010,Sullivan,8621.779411764706
2010,Tioga,2261.752808988764
2010,Tompkins,3548.3052959501556
2010,Ulster,5082.718309859155
2010,Warren,3477.691489361702
2010,Washington,3604.85
2010,Wayne,1719.041095890411
2010,Westchester,7353.490445859873
2010,Wyoming,1829.962962962963
2010,Yates,1105.553846153846
2011,Albany,12370.925531914894
2011,Allegany,1090.6146788990825
2011,Bronx,18954.233870967742
2011,Broome,6505.7226277372265
2011,Cattaraugus,1877.9
2011,Cayuga,4746.603773584906
2011,Chautauqua,2876.0675105485234
2011,Chemung,5722.876543209876
2011,Chenango,2432.65625
2011,Clinton,4804.4655172413795
2011,Columbia,3694.0526315789475
2011,Cortland,4201.75
2011,Delaware,1620.6153846153845
2011,Dutchess,6295.907834101383
2011,Erie,9812.803198031981
2011,Essex,1272.5068493150684
2011,Franklin,2037.891304347826
2011,Fulton,2545.735294117647
2011,Genesee,3454.17
2011,Greene,9949.9
2011,Hamilton,498.63157894736844
2011,Herkimer,3113.469387755102
2011,Jefferson,2597.875
2011,Kings,16134.290909090909
2011,Lewis,780.3375
2011,Livingston,962.35
2011,Madison,1641.5285714285715
2011,Monroe,7963.646892655367
2011,Montgomery,5182.351851851852
2011,Nassau,10231.46017699115
2011,New York,25602.983695652172
2011,Niagara,3265.768313458262
2011,Oneida,5457.228070175439
2011,Onondaga,7725.143459915612
2011,Ontario,10290.7
2011,Orange,4824.572597137014
2011,Orleans,1391.6666666666667
2011,Oswego,2905.1159420289855
2011,Otsego,2501.8196721311474
2011,Putnam,12142.897435897436
2011,Queens,16311.807754442649
2011,Rensselaer,6042.508771929824
2011,Richmond,12457.14184397163
2011,Rockland,8603.433460076045
2011,Saint Lawrence,1225.5381355932204
2011,Saratoga,4715.853242320819
2011,Schenectady,8091.028571428571
2011,Schoharie,2234.0789473684213
2011,Schuyler,1261.3584905660377
2011,Seneca,4575.264150943396
2011,Steuben,2906.5040650406504
2011,Suffolk,10528.232919254659
2011,Sullivan,3644.6216216216217
2011,Tioga,14306.567567567568
2011,Tompkins,3744.2258064516127
2011,Ulster,6258.502617801048
2011,Warren,7615.212765957447
2011,Washington,1946.3333333333333
2011,Wayne,1895.132530120482
2011,Westchester,7368.176470588235
2011,Wyoming,1136.857142857143
2011,Yates,1008.2708333333334
2012,Albany,18654.6
2012,Allegany,1045.0625
2012,Bronx,58075.333333333336
2012,Broome,6329.706896551724
2012,Cattaraugus,2533.6486486486488
2012,Cayuga,14990.272727272728
2012,Chautauqua,3300.4565217391305
2012,Chemung,1038.2619047619048
2012,Chenango,3813.2884615384614
2012,Clinton,3866.550561797753
2012,Columbia,15297.6
2012,Cortland,2966.214285714286
2012,Delaware,4602.0
2012,Dutchess,3701.8152492668623
2012,Erie,13260.44626593807
2012,Essex,5125.333333333333
2012,Franklin,11966.333333333334
2012,Fulton,3800.8333333333335
2012,Genesee,30816.0
2012,Greene,21217.166666666668
2012,Hamilton,1254.6666666666667
2012,Herkimer,3032.368715083799
2012,Jefferson,2549.3137254901962
2012,Kings,5071.411764705882
2012,Lewis,1008.25
2012,Livingston,1939.878787878788
2012,Madison,2348.497512437811
2012,Monroe,38336.08
2012,Montgomery,3426.635922330097
2012,Nassau,23462.478260869564
2012,New York,98545.0
2012,Niagara,4652.392592592592
2012,Oneida,4388.3102310231025
2012,Onondaga,12304.984962406015
2012,Ontario,26992.333333333332
2012,Orange,12730.913978494624
2012,Orleans,
2012,Oswego,2838.5263157894738
2012,Otsego,5847.117647058823
2012,Putnam,14790.0
2012,Queens,71565.44444444444
2012,Rensselaer,7980.0
2012,Richmond,84947.4
2012,Rockland,28896.418604651164
2012,Saint Lawrence,742.948905109489
2012,Saratoga,3816.7429906542056
2012,Schenectady,6044.921568627451
2012,Schoharie,7063.333333333333
2012,Schuyler,2785.2631578947367
2012,Seneca,5322.909090909091
2012,Steuben,2631.029702970297
2012,Suffolk,33281.36363636364
2012,Sullivan,12528.666666666666
2012,Tioga,1215.483870967742
2012,Tompkins,22205.333333333332
2012,Ulster,16304.761904761905
2012,Warren,13374.923076923076
2012,Washington,7097.25
2012,Wayne,1829.0
2012,Westchester,17825.809523809523
2012,Wyoming,1576.0
2012,Yates,1129.5263157894738
2013,Albany,14860.443609022557
2013,Allegany,1665.148148148148
2013,Bronx,37365.73684210526
2013,Broome,3692.7020408163266
2013,Cattaraugus,1541.9245283018868
2013,Cayuga,4240.4375
2013,Chautauqua,2003.0480274442539
2013,Chemung,5966.370820668693
2013,Chenango,2216.6911764705883
2013,Clinton,5600.448275862069
2013,Columbia,977.9847328244275
2013,Cortland,2117.901960784314
2013,Delaware,1024.7761194029852
2013,Dutchess,3128.9134396355353
2013,Erie,9675.033333333333
2013,Essex,1746.2727272727273
2013,Franklin,3529.6428571428573
2013,Fulton,4696.2830188679245
2013,Genesee,11458.055555555555
2013,Greene,3289.2608695652175
2013,Hamilton,925.375
2013,Herkimer,4448.265060240964
2013,Jefferson,1132.8814814814814
2013,Kings,11132.290697674418
2013,Lewis,1584.2121212121212
2013,Livingston,3017.6666666666665
2013,Madison,3552.5138888888887
2013,Monroe,8288.047923322683
2013,Montgomery,3286.0
2013,Nassau,13923.880239520959
2013,New York,27484.0
2013,Niagara,4222.478723404255
2013,Oneida,5431.527638190954
2013,Onondaga,7081.80694980695
2013,Ontario,10539.236842105263
2013,Orange,3716.0
2013,Orleans,2419.4736842105262
2013,Oswego,3412.0280373831774
2013,Otsego,1074.9565217391305
2013,Putnam,2635.2093023255816
2013,Queens,9042.76923076923
2013,Rensselaer,4155.160714285715
2013,Richmond,11599.87
2013,Rockland,8547.309210526315
2013,Saint Lawrence,862.0283018867924
2013,Saratoga,3694.9276315789475
2013,Schenectady,8068.888888888889
2013,Schoharie,4937.666666666667
2013,Schuyler,569.4035087719299
2013,Seneca,6504.9375
2013,Steuben,1497.4624277456646
2013,Suffolk,9359.972375690608
2013,Sullivan,3479.5138888888887
2013,Tioga,1825.8285714285714
2013,Tompkins,3241.5
2013,Ulster,6048.987080103359
2013,Warren,2882.121951219512
2013,Washington,927.7222222222222
2013,Wayne,4024.75
2013,Westchester,7000.808139534884
2013,Wyoming,2247.222222222222
2013,Yates,566.9444444444445
